name,latitude,longitude,place_id,vicinity
Sree Mahavishnu Narasimhamoorthy Temple,9.9718166,76.2995675,ChIJ4RGtZMtyCDsRb8CyckXKlc8,"X7CX+PRG, Jawahar Nagar, Ernakulam"
Pallithrikkovil Madhom,9.9768973,76.3099462,ChIJSf088a4NCDsRYk9cxFFkEoo,"Pallithrikkovil Madhom, Ponnurunni, Vyttila, PIN CODE 682019"
Sree Olipparambu Bhadrakali Temple,9.9761506,76.30976749999999,ChIJs4ZN6SwNCDsRS9kPROFD-4E,"Bhuvaneswari Road, Ponnurunni, Vyttila, Kochi"
Sri Bhuvaneshwari Temple,9.9760527,76.310039,ChIJ_fFy6ywNCDsR8hdp14M7CJs,"X8G6+C2F, Ponnurunni, Vyttila, Ernakulam"
Adwaithasramam,10.1135114,76.3573152,ChIJ5dGKry4PCDsRB4ifMMdZSIo,"Bridge Road, Periyar Nagar, Aluva"
Peringazha Sree Durga Bhagavati Temple,10.0644206,76.34102519999999,ChIJUQitGKAOCDsRzP6iGfgGUWE,"387R+QC6, Peringazha Road, Peringazha, HMT Colony, North Kalamassery, Kalamassery, Kochi"
Ponnakudam Temple,10.0485618,76.36115850000002,ChIJ5zg8nAkMCDsRCiI0kD8rl8E,"Thevakkal, Kochi"
Sri Thripurayar Mahadeva Temple,10.1272087,76.3688094,ChIJObiPMsoICDsR7JS1C6n96qs,"Kalady - Aluva Road, PO, Purayār, Chowara"
Kannoth Temple,10.0875009,76.3234236,ChIJzdmGhfMOCDsRVnLM_ZSyVfY,"Palakkulam Illam, Kannoth Temple, 15/435A, Muppathadam Road, Muppathadom, Edayar, Aluva"
"Kurumbakkavu Temple, Athani കുറുമ്പക്കാവ് ക്ഷേത്രം",10.1452291,76.3566377,ChIJ9a16SFEPCDsRrxK68ysfhz4,"49W4+3MR, Athani"
Avanamcode Saraswathi Devi Temple (Swayambhu Bhagavathi),10.1478975,76.3812119,ChIJb5kcS6EICDsRuI4sSbfKS6c,"Avanamkodu Devaswam Kerala Kshethra Seva Trust, Near Nedumbassery Airport,Chowara, Avanamkodu Edanad Road, Nedumbassery"
Poickattussery Sreekurumbakkav Bhagavathy Kshetram,10.163542,76.34642730000002,ChIJK4jkde4FCDsRO7FK7bwQp0o,"Post Office, Sreekurumbakkav Devasam trust, Poickattussery, Chengamanad"
Aattippuzhakkavu Devi Temple,10.1488312,76.32788099999999,ChIJ6_QnQX0PCDsR0Ii76gxCImI,"West Veliyathunadu. P. O., Aluva, Veliyathunadu"
Thiruvairanikulam Mahadeva Temple,10.1198151,76.41676679999999,ChIJ7z_Ev1AICDsR9QCc8Q3rN-s,"Thiruvairanikkulam Mahadeva Temple, Thekkumbhagom"
Eravikulangara Temple,10.1611689,76.3741079,ChIJ38NltgUGCDsRtGs8VQOsRmc,"Eravikulangara Bhagavathy Temple, Erivikulangara Bhagavathy Temple Road, Nedumbassery"
"Naranath Sree Krishna Swamy Temple, Eloor South.",10.0747554,76.29142329999999,ChIJzb2QNG0OCDsR4W35BMv8LQw,"37FR+WH3, Eloor Ferry Road, Companypadi, Eloor, Kochi"
"Ezhipuram Bhagavathy Temple, Marampally",10.1067399,76.4322016,ChIJB7B8k7UJCDsREZAwuG5gd34,Marampally
Kuttikulangara Sree BalaMuraliKrishna Parthasarathy Temple,10.0990194,76.2770694,ChIJQRbcACwOCDsRpc3nsSXhUrw,"Hindu Dharma Samrakshana Sabha, Kongorpilly Olanad Road, Kongorppilly, Varapuzha"
Puliyampilly Namboothiri Temple(Sree moolasthanam),10.1547912,76.4157598,ChIJ3Scb4tUHCDsRGv1843lrxAs,"5C38+W86, Kanjoor-Airport Road, Thuravumkara, Vadakkumbhagom"
Puliyampilly Bhagavathi Temple,10.15569,76.415695,ChIJzUFb2NUHCDsRw9GogRk-S5w,"5C48+77G, Kanjoor-Airport Road, Thuravumkara, Vadakkumbhagom"
"Sree Muthappan Kovil Badhra Kali Temple, Thuravumkara, Kanjoor",10.1570788,76.4225694,ChIJq3gKy9kHCDsRdOatz7fQ06c,"Sree Muthppan Kovil Badhra Kali Temple, Thuravumkara P.O., Kanjoor, Ernakulam, Kerala, India, 683575, Kalady, Chengal Temple Road, Chengal, Vadakkumbhagom"
വാഴക്കുളം,10.1003709,76.35703819999999,ChIJbUN30DAPCDsReBYpIostr-4,"വേണുഗോപാൽ ജോതിഷം പുണർതം വീട്, വാഴക്കുളം, ആലുവ"
Shitala Mata,10.1014523,76.3566601,ChIJUUM5V5kPCDsRFLLuMuEagi8,"power house road, power house road, Syrian Church Road, Aluva"
Cheerakkada Bhagavathi Temple,10.1025471,76.3528298,ChIJ-4gRUNcOCDsRprIzIJYcNUA,"4933+248, Cherakada Temple Road, Kunnathery Thikavu, Aluva"
"Cheerakada Devi Temple, Alwaye",10.1025862,76.35281189999999,ChIJY8dJ-c8OCDsRHBytSLRn7KI,"4933+24M, Cheerakkada temple road, Aluva"
Sri Durga Temple,10.102635,76.352819,ChIJMdi6WtcOCDsRmasWaMjwews,"4933+344, Cherakada Temple Road, Kunnathery Thikavu, Aluva"
Sree Balabhadrakali Temple,10.1017052,76.3507569,ChIJGVK2itkOCDsRZTGeiYyD3TM,"Madathiparambil, Azad Road, Aluva"
Parashakthi Devasthanam,10.1035721,76.351053,ChIJOwKpxtkOCDsREoNZeVLFi8g,"4932+CCF, Kunnathery Thikavu, Aluva"
